content_id,page,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,pageviews_28d,sessions_28d_total,affiliate_clicks_per_1000_sessions,gsc_clicks_28d,gsc_impressions_28d,commercial_intent
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,NONE,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,NONE,0,NULL,NULL,NULL,166,0.0,0,0,GENERAL
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,VISA
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,VISA
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,VISA
cbt-55aef784e6aa,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,Trip.com,0,NULL,NULL,NULL,166,0.0,0,0,VISA
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,VISA
